id,name,file,offset
0,com.navercorp.pinpoint.profiler.context.SpanEvent,profiler/src/main/java/com/navercorp/pinpoint/profiler/context/SpanEvent.java,753
1,com.navercorp.pinpoint.web.view.LinkSerializer,web/src/main/java/com/navercorp/pinpoint/web/view/LinkSerializer.java,1470
2,com.navercorp.pinpoint.profiler.monitor.metric.buffer.BufferMetricSnapshot,profiler/src/main/java/com/navercorp/pinpoint/profiler/monitor/metric/buffer/BufferMetricSnapshot.java,656
3,com.navercorp.pinpoint.thrift.dto.command.TCmdActiveThreadDumpRes,thrift/src/main/java/com/navercorp/pinpoint/thrift/dto/command/TCmdActiveThreadDumpRes.java,191
4,com.navercorp.pinpoint.profiler.context.thrift.StatThriftMessageConverter,profiler/src/main/java/com/navercorp/pinpoint/profiler/context/thrift/StatThriftMessageConverter.java,2862
5,com.navercorp.pinpoint.web.service.map.VirtualLinkHandler,web/src/main/java/com/navercorp/pinpoint/web/service/map/VirtualLinkHandler.java,1466
6,com.navercorp.pinpoint.plugin.jdbc.oracle.parser.KeyValue,plugins/oracle-jdbc/src/main/java/com/navercorp/pinpoint/plugin/jdbc/oracle/parser/KeyValue.java,737
7,com.navercorp.pinpoint.rpc.packet.stream.StreamPingPacket,rpc/src/main/java/com/navercorp/pinpoint/rpc/packet/stream/StreamPingPacket.java,793
8,com.navercorp.pinpoint.profiler.sender.PartitionedByteBufferLocator,profiler/src/main/java/com/navercorp/pinpoint/profiler/sender/PartitionedByteBufferLocator.java,892
9,com.navercorp.pinpoint.profiler.metadata.SqlMetaData,profiler/src/main/java/com/navercorp/pinpoint/profiler/metadata/SqlMetaData.java,643
10,com.navercorp.pinpoint.plugin.thrift.ThriftRequestProperty,plugins/thrift/src/main/java/com/navercorp/pinpoint/plugin/thrift/ThriftRequestProperty.java,1027
11,com.navercorp.pinpoint.thrift.dto.TDataSource,thrift/src/main/java/com/navercorp/pinpoint/thrift/dto/TDataSource.java,183
12,com.navercorp.pinpoint.thrift.dto.TServiceInfo,thrift/src/main/java/com/navercorp/pinpoint/thrift/dto/TServiceInfo.java,183
13,com.navercorp.pinpoint.profiler.instrument.classloading.PlainClassLoaderHandler,profiler/src/main/java/com/navercorp/pinpoint/profiler/instrument/classloading/PlainClassLoaderHandler.java,1649
14,com.navercorp.pinpoint.web.vo.Application,web/src/main/java/com/navercorp/pinpoint/web/vo/Application.java,819
15,com.navercorp.pinpoint.thrift.dto.command.TMonitorInfo,thrift/src/main/java/com/navercorp/pinpoint/thrift/dto/command/TMonitorInfo.java,191
16,com.navercorp.pinpoint.collector.cluster.ThriftAgentConnection,collector/src/main/java/com/navercorp/pinpoint/collector/cluster/ThriftAgentConnection.java,1235
17,com.navercorp.pinpoint.web.applicationmap.rawdata.LinkDataDuplexMap,web/src/main/java/com/navercorp/pinpoint/web/applicationmap/rawdata/LinkDataDuplexMap.java,733
18,com.navercorp.pinpoint.profiler.util.FileBinary,profiler/src/main/java/com/navercorp/pinpoint/profiler/util/FileBinary.java,646
19,com.navercorp.pinpoint.web.applicationmap.histogram.AgentTimeHistogram,web/src/main/java/com/navercorp/pinpoint/web/applicationmap/histogram/AgentTimeHistogram.java,1393
20,com.navercorp.pinpoint.web.filter.FilterDescriptor,web/src/main/java/com/navercorp/pinpoint/web/filter/FilterDescriptor.java,832
21,com.navercorp.pinpoint.web.vo.ResponseTime,web/src/main/java/com/navercorp/pinpoint/web/vo/ResponseTime.java,858
22,com.navercorp.pinpoint.profiler.metadata.ApiMetaData,profiler/src/main/java/com/navercorp/pinpoint/profiler/metadata/ApiMetaData.java,643
23,com.navercorp.pinpoint.web.vo.scatter.DotAgentInfo,web/src/main/java/com/navercorp/pinpoint/web/vo/scatter/DotAgentInfo.java,651
24,com.navercorp.pinpoint.thrift.dto.TAgentStatBatch,thrift/src/main/java/com/navercorp/pinpoint/thrift/dto/TAgentStatBatch.java,183
25,com.navercorp.pinpoint.thrift.dto.TAnnotation,thrift/src/main/java/com/navercorp/pinpoint/thrift/dto/TAnnotation.java,183
26,com.navercorp.pinpoint.web.applicationmap.nodes.ServerInstanceList,web/src/main/java/com/navercorp/pinpoint/web/applicationmap/nodes/ServerInstanceList.java,809
27,com.navercorp.pinpoint.web.filter.LinkFilter,web/src/main/java/com/navercorp/pinpoint/web/filter/LinkFilter.java,1602
28,com.navercorp.pinpoint.profiler.context.provider.stat.jvmgc.DetailedMemoryMetricProvider,profiler/src/main/java/com/navercorp/pinpoint/profiler/context/provider/stat/jvmgc/DetailedMemoryMetricProvider.java,1297
29,com.navercorp.pinpoint.web.applicationmap.histogram.TimeHistogram,web/src/main/java/com/navercorp/pinpoint/web/applicationmap/histogram/TimeHistogram.java,805
30,com.navercorp.pinpoint.rpc.common.SocketStateCode,rpc/src/main/java/com/navercorp/pinpoint/rpc/common/SocketStateCode.java,800
31,com.navercorp.pinpoint.bootstrap.plugin.proxy.ProxyHttpHeader,bootstrap-core/src/main/java/com/navercorp/pinpoint/bootstrap/plugin/proxy/ProxyHttpHeader.java,839
32,com.navercorp.pinpoint.profiler.context.grpc.GrpcMetadataMessageConverter,profiler/src/main/java/com/navercorp/pinpoint/profiler/context/grpc/GrpcMetadataMessageConverter.java,1840
33,com.navercorp.pinpoint.thrift.dto.flink.TFServiceInfo,thrift/src/main/java/com/navercorp/pinpoint/thrift/dto/flink/TFServiceInfo.java,189
34,com.navercorp.pinpoint.profiler.monitor.metric.memory.MemoryPoolType,profiler/src/main/java/com/navercorp/pinpoint/profiler/monitor/metric/memory/MemoryPoolType.java,660
35,com.navercorp.pinpoint.thrift.dto.command.TCommandThreadDumpResponse,thrift/src/main/java/com/navercorp/pinpoint/thrift/dto/command/TCommandThreadDumpResponse.java,191
36,com.navercorp.pinpoint.thrift.dto.TSpanEvent,thrift/src/main/java/com/navercorp/pinpoint/thrift/dto/TSpanEvent.java,775
37,com.navercorp.pinpoint.thrift.dto.TServerMetaData,thrift/src/main/java/com/navercorp/pinpoint/thrift/dto/TServerMetaData.java,183
38,com.navercorp.pinpoint.web.calltree.span.CallTreeIterator,web/src/main/java/com/navercorp/pinpoint/web/calltree/span/CallTreeIterator.java,726
39,com.navercorp.pinpoint.plugin.jdbc.oracle.OracleJdbcUrlParser,plugins/oracle-jdbc/src/main/java/com/navercorp/pinpoint/plugin/jdbc/oracle/OracleJdbcUrlParser.java,1448
40,com.navercorp.pinpoint.web.calltree.span.CallTreeNode,web/src/main/java/com/navercorp/pinpoint/web/calltree/span/CallTreeNode.java,647
41,com.navercorp.pinpoint.profiler.instrument.ASMMethodNodeAdapter,profiler/src/main/java/com/navercorp/pinpoint/profiler/instrument/ASMMethodNodeAdapter.java,1141
42,com.navercorp.pinpoint.common.hbase.parallel.ScanTaskConfig,commons-hbase/src/main/java/com/navercorp/pinpoint/common/hbase/parallel/ScanTaskConfig.java,987
43,com.navercorp.pinpoint.web.dao.hbase.HbaseApplicationTraceIndexDao,web/src/main/java/com/navercorp/pinpoint/web/dao/hbase/HbaseApplicationTraceIndexDao.java,2948
44,com.navercorp.pinpoint.web.vo.callstacks.RecordFactory,web/src/main/java/com/navercorp/pinpoint/web/vo/callstacks/RecordFactory.java,1728
45,com.navercorp.pinpoint.thrift.dto.TSpanChunk,thrift/src/main/java/com/navercorp/pinpoint/thrift/dto/TSpanChunk.java,183
46,com.navercorp.pinpoint.web.service.AgentServiceImpl,web/src/main/java/com/navercorp/pinpoint/web/service/AgentServiceImpl.java,2692
47,com.navercorp.pinpoint.web.vo.AgentInfo,web/src/main/java/com/navercorp/pinpoint/web/vo/AgentInfo.java,974
48,com.navercorp.pinpoint.profiler.context.grpc.GrpcStatMessageConverter,profiler/src/main/java/com/navercorp/pinpoint/profiler/context/grpc/GrpcStatMessageConverter.java,2939
49,com.navercorp.pinpoint.rpc.server.DefaultPinpointServer,rpc/src/main/java/com/navercorp/pinpoint/rpc/server/DefaultPinpointServer.java,3153
50,com.navercorp.pinpoint.web.util.TimeWindow,web/src/main/java/com/navercorp/pinpoint/web/util/TimeWindow.java,752
51,com.navercorp.pinpoint.collector.cluster.route.StreamRouteHandler,collector/src/main/java/com/navercorp/pinpoint/collector/cluster/route/StreamRouteHandler.java,2112
